" 1. CIRCULACION NACIONAL E INTERNACIONAL Desarrollar acciones que fortalezcan el ámbito de la circulación regional, nacional e internacional de las prácticas artísticas y saberes culturales.",,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,, ORIENTADOR, SOLICITUD, VALOR COMPROMETIDO,COMITE,PROCESO,RUT IVA,OBSERVACIONES,,,,
FUNDACION TIERRA PAZIFICA,PLATAFORMA BOICOP -CALI,  200.000.000 ,  200.000.000 ,  14.000.000 ,  214.000.000 , YUL, YULLI, ´097,  200.000.000 ,30 SEPTIEMBRE 2025,"CIRCULACION: Potenciar las capacidades sociales y comunitarias de organizaciones populares de Cali, mediante la articulación de procesos culturales y artísticos orientados a transformar imaginarios y fortalecer la construcción de paz territorial.
Visibilizar procesos culturales y artísticos mediante la resignificación del espacio público en territorios afectados por el rupturismo social en Cali.
El proyecto reconoce la potencia de las expresiones artísticas, culturales y estéticas como vehículos de incidencia social, de reivindicación de derechos y de pluralidad. Estas dinámicas se convierten en motores de transformación de conflictividades y violencias, al tiempo que abren el horizonte para una democratización cultural basada en el cuidado, la justicia social y la construcción de paz territorial y biocultural.
El impacto del proyecto radica en dos apuestas centrales. La primera, la formación y articulación de sectores clave —como el Hip Hop, el barrismo social, la oralidad y comunicación popular, y la gráfica popular— para consolidar un movimiento cultural de transformación pacífica y biocultural en Cali y la región. A través de actividades de fortalecimiento organizativo y apoyo a iniciativas comunitarias, se busca cimentar una alianza público-popular que posibilite cambios estructurales y duraderos. La segunda apuesta se orienta a la visibilización, incidencia y articulación de estas expresiones mediante Tomas Bioculturales en territorios priorizados, que permitirán el encuentro, la creación colectiva y la activación del espacio público en clave de paz y resistencia cultural. De esta manera, se proyecta la animación de una red cultural de “rexistencia” que trascienda lo local y se extienda a nivel regional y nacional, aportando a la consolidación de un movimiento cultural vivo, capaz de dinamizar transformaciones sociales y culturales profundas.
La pertinencia del presente proyecto radica en recoger los aprendizajes y demandas del Estallido Social, en un contexto en que la sociedad caleña reclama nuevas formas de relación entre ciudadanía e institucionalidad. La coyuntura actual, marcada por la creación de la nueva institucionalidad para el cuidado y la paz, así como por el impulso de políticas de seguridad humana y justicia social, abren una ventana de oportunidad para que las organizaciones sociales y comunitarias no solo sean receptoras de políticas, sino protagonistas en su diseño e implementación. Además, articula el momento político del país con las expresiones culturales vivas de los territorios, generando una articulación continua entre las agendas gubernamentales y las apuestas comunitarias.
A diferencia de otras iniciativas, este proyecto no se limita a promover actividades culturales aisladas ni a priorizar la dimensión estética sobre la organizativa. Por el contrario, propone un doble enfoque: por un lado, el fortalecimiento organizativo de colectivos sociales y culturales en sectores populares; y por otro, la construcción de un movimiento articulado que interviene en el espacio público con acciones de incidencia y de transformación biocultural. Resultando estratégico, pues convierte la cultura en herramienta política, de resistencia creativa y de construcción de paz en un territorio históricamente atravesado por desigualdad, exclusión y conflictividad social.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",48 - Impuesto sobre las ventas Iva,No se evidencian pagos ni actas de inicio ni informes,,,,
CULTURA NATIVA - CANDELALMA,BOGOTA,  80.000.000 ,  80.000.000 ,  5.600.000 ,  85.600.000 , ADIC, MONICA, ´098,  80.000.000 ,30 SEPTIEMBRE 2025,"CIRCULACION Crear un mapa sagrado mediante una ruta de expresiones artísticas interdisciplinarias —proyecciones audiovisuales, música, danza y ritualidad— que integre a diversos públicos, artistas, estudiantes y procesos comunitarios en articulación con el programa Artes para la Paz. El proyecto busca aportar a la memoria, la identidad y la celebración biocultural, revitalizando la lengua muisca y resignificando la Bacatá ancestral, al tiempo que fortalece el tejido cultural y comunitario de La Candelaria, activando procesos de pedagogía, arte y cultura que transmitan el valor de la memoria ancestral a todas las generaciones.
Producir una activación artística en la Candelaria con participación de músicos de calle, colectivos de danza, artistas locales, estudiantes, extranjeros siguiendo la ruta establecida durante un día
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,No se evidencian pagos ni informes,,,,
CORPORACION MANGLARIA DIVERSA,TUMACO,  40.000.000 ,  40.000.000 ,  2.800.000 ,  42.800.000 , CES, JEIMMY, ´099,  40.000.000 ,30 SEPTIEMBRE 2025,"CIRCULACION: Fortalecer los procesos de formación artística comunitaria de 45 niños, niñas, adolescentes y jóvenes entre 10 y 26 años del barrio María Auxiliadora en Tumaco , a través de la danza tradicional del Pacífico (20 participantes), la música tradicional (10 participantes) y el baile urbano (15 participantes) , promoviendo el diálogo intercultural, la participación juvenil y la construcción de paz territorial desde las prácticas culturales.

Fomentar la participación activa de los 45 participantes en la vida cultural y comunitaria del barrio María Auxiliadora , acciones mediante presentaciones artísticas, actividades colectivas y de incidencia cultural que aportan a la convivencia, la reconciliación y la construcción de paz territorial desde el arte.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,No se evidencian pagos  ni informes,,,,
ASOCIACION PARCHEMOS POR YACOPI, YACOPI,  40.000.000 ,  40.000.000 ,  2.800.000 ,  42.800.000 , CES, JEIMMY, ´111,  40.000.000 ,8 DE OCTUBRE,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Fortalecer la identidad cultural y los lazos comunitarios en Yacopí mediante la recuperación y transmisión intergeneracional de saberes campesinos y tradiciones culturales, a través de un festival de tres días que integre el arte, la pedagogía y la gastronomía como motores de transformación social.

Promover la creación colectiva de murales comunitarios en los barrios Loma Linda y El Amarillal durante los tres días del festival, exaltando la labor de los campesinos y productores del territorio como protagonistas de la identidad cultural, con el apoyo de artistas de otras regiones del país.

Generar procesos de apropiación comunitaria y circulación cultural, a través de la entrega simbólica de los murales y la integración de resultados de las escuelas itinerantes en el marco del festival, fomentando la cohesión social y la identidad territorial.

Fortalecer el reconocimiento de la cocina campesina como patrimonio cultural, mediante la realización de la tercera edición del Sancocho Master, resaltando el rol de las cocineras tradicionales y el valor de la producción agrícola local.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,No se evidencian pagos ni actas de inicio ni informes,,,,
ASOCIACION DE AUTORIDADES INDIGENAS ATICOYA , LETICIA AMAZONAS,  14.579.439 ,  14.579.439 ,  1.020.561 ,  15.600.000 , MUJERES, JEIMMY, ´112,  14.579.439 ,8 DE OCTUBRE,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Iniciar con una ceremonia de permiso que honre la conexión espiritual con el territorio y dé apertura a un proceso artístico y cultural basado en el diálogo intergeneracional, el intercambio de saberes, la memoria, la cultura y la cosmovisión, mediante la narración de historias, la extracción de tintes vegetales, la elaboración de pinturas, la danza, la producción y edición de cuatro (4) reels, así como la realización de un evento de cierre comunitario en la cancha polideportiva del casco urbano de Puerto Nariño. Este proceso busca difundir y visibilizar las creaciones artísticas producidas colectivamente, fortaleciendo al grupo Comunicación Visual Sin Fronteras Amazonas como referente cultural del municipio de Puerto Nariño.
Organizar un evento de cierre en la cancha polideportiva del casco urbano del municipio de Puerto Nariño, para difundir y visibilizar las creaciones artísticas producidas durante el proceso. El evento será un espacio de diálogo intergeneracional y de intercambio de saberes, memoria, cultura y cosmovisión, consolidando al grupo colectivo Comunicación Visual Sin Fronteras Amazonas como referente cultural en el municipio de Puerto Nariño.
Grabar y editar las actividades desarrolladas en el primer y segundo objetivo para la creación de cuatro s (4) reels audiovisuales de dos (2) minutos cada uno, en lengua Maguta (Tikuna). Estos productos audiovisuales integrarán historias, danzas, pinturas y memorias ancestrales como forma de expresión artística y de resistencia cultural de las niñas, niños y jovenes indígenas del Resguardo TICOYA.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,"No se evidencian pagos de primer desembolso- ""otro si"" extension de contrato", FALTA DOCUMENTO DE PAGO  Y PENDIENTE OTRO SI ,,,
MARCASHI GROUP SAS, arte que educa en intituciones educativas,  80.000.000 ,  80.000.000 ,  5.600.000 ,  85.600.000 , MON - ADICION, MONICA , ´120,  80.000.000 ,16 OCTUBRE 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Fortalecer los procesos de formación artística y de desarrollo integral en niños, niñas y adolescentes de Bogotá, Bosa y Soacha, mediante presentaciones musicales y talleres de danza urbana que promuevan la expresión, la convivencia y el aprendizaje colectivo a través del arte.

El proyecto “Arte que Educa” nace de la necesidad de fortalecer la formación artística y cultural de niños, niñas y adolescentes de sectores populares de Bogotá, Bosa y Soacha, territorios que requieren espacios seguros de expresión y aprendizaje.

A partir de las presentaciones musicales y los talleres de danza urbana, el proyecto busca generar experiencias vivenciales que combinen arte, pedagogía y participación comunitaria. Las presentaciones serán el punto de partida para inspirar, motivar y sensibilizar a los estudiantes, mientras que los talleres profundizarán en el componente formativo, ofreciendo herramientas prácticas y reflexivas. Las actividades formativas del proyecto Arte que Educa se desarrollarán en formato de talleres, entendidos como espacios participativos de creación y aprendizaje colectivo, donde los niños y jóvenes son protagonistas del proceso. 

Los talleres de danza urbana se desarrollarán después de las presentaciones musicales de Marcashi, con una duración de 2 horas por sesión, divididas en tres fases:
1. Exploración corporal y calentamiento: reconocimiento del cuerpo, ritmo y coordinación.
2. Aprendizaje coreográfico: enseñanza de pasos básicos, trabajo en grupo y creación de pequeñas rutinas.
3. Reflexión colectiva: diálogo sobre lo aprendido, emociones, trabajo en equipo y cómo el arte aporta a la convivencia.

Cada taller finalizará con las presentaciones artisticas, una bitácora de aportes y reflexiones, escrita y dibujada por los mismos participantes, y con un breve registro audiovisual que documentará la experiencia.

“Arte que Educa” busca que los jóvenes no solo sean espectadores, sino protagonistas de su propio proceso de aprendizaje, promoviendo la creatividad, la autoestima y la construcción de comunidad a través del arte.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,No se evidencian pagos ni actas de inicio ni informes,, xxx,,
ORGANIZACION DE MUJERES VICTIMAS DEL RIO IRO  (ORVIEN), BAGADÓ CHOCÓ,  20.000.000 ,  20.000.000 ,  1.400.000 ,  21.400.000 , MUJERES mon, MERCY , ´123,  20.000.000 ,16 OCTUBRE 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Rescatar y fortalecer las tradiciones y costumbres ancestrales como estrategia de prevención del reclutamiento forzado y del desplazamiento armado, promoviendo la identidad cultural, la cohesión comunitaria y la construcción de entornos protectores que garanticen el arraigo territorial y el ejercicio de los derechos culturales de la comunidad.

Rescatar la tradición del territorio a través de la promoción de espacios culturales relacionados a la danza, la literatura oral, la música y las artesanías.
Generar espacios colectivos que integren población de varias comunidades para conversar, reconstruir y potenciar la tradición del territorio.

Para nosotros participar en eventos nacionales departamentales e internacionales escomo dar a conocer un grito de libertad, contar con un espacio y herramienta para que nuestros niños, jóvenes y nuestras mayoras puedan sentarse y poder contar cada anécdota, cada historia, es como escribir una memoria que nunca se borrará en las generaciones venideras. Poder reunirnos todas las comunidades como antes se solía hacer sin temor ni angustia de que vayan a llegar los grupos a atacarnos o a llevarse a alguien de los que esté en el espacio como solía pasar antes. Para nosotros volver a utilizar nuestro rio en caravana sin temor para nosotros rescate tradición y costumbre es un grito de resistencia es la voz de un pueblo la sangre de los caídos y desparecidos clamando justicia y que nos miren como territorio como vida que sumamos no solo para votos sino como personas que por nuestras venas hay arete cultura teatro y es la forma que tenemos de expresarnos en el territorio y de revivir la memoria de los que ya no están y evitar que muchos más caigan en esa red de reclutamiento, desplazamiento y abandono del territorio rescate tradición y costumbres ancestrales es para nosotros la memoria viva historia rescatada desde nuestros ancestros es dar vida libertad no es solo compartir un momento es como alimentar el alma y el espíritu de un pueblo un territorio que la violencia lo marcó le quiso quitar sus raíces para nosotros rescate tradición y costumbre es volver a nuestros mayores que hoy no están que nuestros hijos no conocieron. Es decir, ante la situación histórica de violencia y exclusión en nuestros territorios, la existencia de proyectos de este tipo permite reconocer nuestra historia, reivindicarla y dar avances en la consolidación de una cultura en el territorio que logre tomar lo que se ha perdido y mezclarlo con las nuevas prácticas culturales existentes.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,No se evidencian pagos ni actas de inicio ni informes/ Solicitud ampliación fechas en el contrato el dia 24 de noviembre,, xxx,,
CHAIBA FUNDACION PARA EL DESARROLLO HUMANO, SUESCA CUNDINAMARCA,  15.000.000 ,  15.000.000 ,  1.050.000 ,  16.050.000 , MUJERES mon, MERCY, ´126,  15.000.000 ,16 OCTUBRE 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Generar un espacio de diálogos interculturales que permita identificar, proteger, difundir y fortalecer diversos saberes que son expresión de las culturas y fundamento de la identidad colectiva de las comunidades congregadas en el municipio de Suesca.

A través de diferentes puestas en escena, promover la asistencia y la participación de los asistentes oriundos y el público turista, al territorio y sus riquezas culturales, mostrando el municipio como destino turístico, con factores diferenciales a partir de su identidad misma.

Realizar una jornada enfocada al fortalecimiento del turismo BioCultural en el Municipio, con el desarrollo de una Feria artesanal y empresarial y el de talleres académicos con ésta temática.

Fomentar los saberes del territorio en cuánto a gastronomía, oralidad, técnicas artesanales, artes y oficios, entre otros, a través de talleres gratuitos, que permitan a los participantes tener un acercamiento a dichos saberes de manera teórica y práctica.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,No se evidencian pagos ni actas de inicio ni informes / CONTRATO ENVIADO PTE FIRMA/ se solicito corrección de fecha en el contrato ya que llegó con fecha 30-11 cuando debería ser 15-11,, xxx,,
FUNDACION  PATERPAUTT (ESCRITORAS), MONTERIA,  15.000.000 ,  15.000.000 ,  1.050.000 ,  16.050.000 , ADICION MONI, MERCY, ´129,  15.000.000 ,27 OCTUBRE 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Desarrollar talleres de escritura terapéutica y creación de comics inspiradas e vivencias personales, como medio de expresión y exteriorización de emociones.

Orientar a los participantes a través de las distintas técnicas, maquetación, codificación, lenguaje, toma de planos, estructura narrativa, semiótica, inicio, nudo, desenlace, onomatopeyas visualizadas, personajes, espacio, trama a crear sus propios comics e historietas de su propia inspiración.

Usar técnicas de arteterapia para procesos de introspección previos a la escritura terapeutica.
No deberian facturar Iva dado que no cuentan con la responsabilidad en rel RUT
",No registra responsabilidad de Iva,No se evidencian pagos ni actas de inicio ni informes. Factura enviada el 27 de noviembre no han recibido primer pago. ,, Escritura no tienen presentaciones,,
ASOCIACION DE  MUJERES CASA DEL SEMBRADOR , ARAUCA ,  12.000.000 ,,,,, MERCY , ´138,,,,,CONTRATO recibido,,,,
CORPORACION ELEMENTAL ECOSISTEMA CULTURAL , SAN VICENTE DEL CHUCURRI - SANTANDER ,  20.000.000 ,,,,, MERCY , ´139,,,,,CONTRATO recibido,,,,
ASOCIACIÓN DE MUJERES TRIUNFADORAS , LETICIA,  12.000.000 ,,,,, MERCY,  132 ,,,,,Pendiente pago de primera factura enviada el 27-11-2025,,,,
 SUB TOTAL,,,  1.014.579.439 ,  71.020.561 ,  1.085.600.000 ,,,,  1.014.579.439 ,  -   ,,,,,,,
 4. ECOSISTEMAS ARTISTICOS  Apoyar el Impulso de Ecosistemas Artísticos y Creativos Regionales.,,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,,, SOLICITUD, VALOR COMPROMETIDO,COMITE,,,,,,,
FELIPE GÓMEZ JARAMILLO, APOYO LOGISTICA CONGRESO MANIZALES,  3.045.600 ,  3.045.600 ,  213.192 ,  3.258.792 , YUL, YULI , ´001,  3.045.600 ,20 MAYO 2025,Proceso finalizado,Proceso finalizado,Proceso finalizado,,,,
FUNDACION IDENTIDAD DESPIERTA DOUGLAS CASTELLANOS, PROYECTO YURIS BRITO - GUAJIRA,  28.400.000 ,  28.400.000 ,  1.988.000 ,  30.388.000 , YUL, YULI, ´002,  28.400.000 ,20 MAYO 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Contribuir a la promoción de los derechos, la visibilización y el fortalecimiento de las capacidades creativas, sociales y políticas de las personas LGBTIQ+H en La Guajira, mediante estrategias culturales y pedagógicas como muestras artísticas, espacios formativos y eventos de participación pública, que impulsen la transformación de imaginarios sociales, el reconocimiento de la diversidad y la construcción de narrativas inclusivas.

Promover la sensibilización y transformación de imaginarios sociales sobre la comunidad LGBTIQ+H, mediante la realización de la VII Muestra Dancística Nacional de Mujeres Trans, como un espacio cultural y artístico que fomente el diálogo, el respeto y el reconocimiento de la diversidad en escenarios públicos y comunitarios.

Impulsar la difusión de contenidos artísticos que visibilicen la diversidad sexual y de género en La Guajira, mediante la realización del desfile y concurso “Cuerpos en Movimiento: Riohacha, un mar de diversidad”, promoviendo la construcción de narrativas inclusivas a través del teatro, la danza, la música y la producción audiovisual.
Fomentar la formación en artes y derechos humanos para personas LGBTIQ+H mediante la realización del foro académico “Transformando Realidades: Derechos y Resiliencia”, con el propósito de fortalecer sus capacidades creativas, su liderazgo y su incidencia en el ámbito cultural, a través del diálogo, la reflexión crítica y el intercambio de experiencias.
Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencian informes, documentos segundo pago, anexos de gastos, segundo pago",,,,
FUNDACION UNIDOS POR EL DESARROLLO COMUNITARIO," PROYECTO ENCUENTRO MUNICPAL DE DANZAS ""SOY PELAYERO""",  20.000.000 ,  20.000.000 ,  1.400.000 ,  21.400.000 , MON, MONICA, ´006,  20.000.000 ,20 MAYO 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Contribuir al fortalecimiento de los procesos culturales y pedagógicos del Festival Nacional del Porro en el municipio de San Pelayo, mediante la realización de dos talleres de formación artística en danza dirigidos a niños, niñas, jóvenes y comunidades —beneficiando a 200 participantes—; el incentivo a tres agrupaciones de danza locales que presentarán muestras ilustrativas en cada taller; y el apoyo logístico a la participación infantil en la categoría de Banda de Escuelas de Formación, a través de la provisión de 383 refrigerios. Todo ello con el propósito de fomentar la apropiación, transmisión y sostenibilidad del patrimonio cultural local.

Realizar una muestra artística en el marco de cada taller (2 talleres), con la participación de tres agrupaciones de danza del municipio, representadas por una pareja cada una: una pareja infantil del Grupo Cayena, una pareja juvenil de Colectivo Artístico y una pareja adulta del Grupo Ritmo, Belleza y Cultura. Esta muestra funcionará como referente interpretativo del porro palayero en sus dimensiones musical y dancística, con el propósito de fortalecer la comprensión práctica y el aprendizaje colectivo de los asistentes.

En el marco del Festival Nacional del Porro se desarrollan dos espacios clave para la salvaguardia del patrimonio cultural de San Pelayo: el Encuentro Municipal de Danzas ""Soy Pelayero"" y la participación de las Escuelas de Formación en la categoría Banda Infantil del Festival. El presente proyecto tiene como propósito fortalecer ambos escenarios, reconociendo su valor pedagógico, artístico y comunitario.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",48 - Impuesto sobre las ventas Iva,"Se encuentra el informe pero se debe firmar y revisar, hacer subsanaciones al anexo de gastos",,,,
FUNDACIÓN CULTURAL AFRORESILIENTES COLOMBIANOS - AFRORESILIENTES.," PROYECTO II CIRCUITO DE FORMACION, CIRCULACION EN MUSICA TRADICIONAL DE TAMBORA, EXPRESIÒN CORPORAL Y DANZA PARA COMUNIDADES NEGRAS",  25.000.000 ,  25.000.000 ,  1.750.000 ,  26.750.000 , MON, MONICA, ´014,  25.000.000 ,20 MAYO 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Fortalecer la identidad cultural afrodescendiente en la ciudad de Santa Marta, mediante un proceso formativo integral en música de tambora tradicional, expresión corporal y danzas folclóricas afro, dirigido a jóvenes de diversas localidades, que articule la transmisión intergeneracional de saberes, la sistematización pedagógica y la visibilización artística de los aprendizajes adquiridos.

Realizar una muestra artística de cierre que evidencie los aprendizajes del proceso formativo en música de tambora y danza folclórica afro, protagonizada por los jóvenes participantes e incluyendo la participación especial de dos grupos de danza con músicos en vivo invitados.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencian pagos, informes ni productos",,,,
FUNDACION CULTURAL Y SOCIAL 5TA CON 5TA CREW , PROYECTOS DE FORTALECIMIENTO HIP HOP,  57.000.000 ,  57.000.000 ,  3.990.000 ,  60.990.000 , FRE, DONATELLO, ´032,  57.000.000 ,06 AGOSTO 2025,"CREATIVIDAD, ARTE, TRASFERENCIA DE SABERES, CIRCULACION: Potenciar las capacidades artísticas, pedagógicas y comunitarias de dos organizaciones de Hip Hop —una de enfoque rural en el Catatumbo y otra de enfoque urbano en Cúcuta— como medios para promover la cultura de paz, preservar la memoria histórica y fomentar la circulación de saberes en Norte de Santander.

Diseñar y ejecutar una intervención artística participativa en el corregimiento de Juan Frío, a través de la creación de murales públicos con enfoque de memoria, con participación activa de víctimas del conflicto armado, en especial familiares de personas desaparecidas.

El presente proyecto busca contribuir activamente a la construcción de una Cultura de Paz en el departamento de Norte de Santander, mediante procesos artísticos, pedagógicos y comunitarios enfocados en la recuperación, preservación y difusión de la Memoria Histórica del conflicto armado colombiano. A partir del poder transformador del arte público y comunitario, la iniciativa contempla como eje central la realización de murales en el corregimiento de Juan Frío, ubicado en el municipio de Villa del Rosario —un territorio históricamente afectado por el conflicto armado, la presencia de actores armados ilegales y, de manera particular, por el fenómeno de las desapariciones forzadas en la frontera colombo-venezolana—. De manera complementaria, se propone también el fortalecimiento de la Escuela Itinerante “Del Norte Bravos Hijos”, con sede en la Fundación Cultural y Social 5ta con 5ta Crew en el barrio Colsag de la ciudad de Cúcuta. Esta escuela se desarrollará a través de procesos de formación artística gratuitos y accesibles en áreas como graffiti, música y rap, teatro y audiovisuales, dirigidos especialmente a niñas, niños, adolescentes y jóvenes (NNAJ) del territorio.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",48 - Impuesto sobre las ventas Iva,"No se evidencian pagos, informes ni productos",,,,
